Date : 2026-01-15 21:11:45
Directory : /Users/ndt/Desktop/DATN/frontend-app
Total : 466 files,  81324 codes, 535 comments, 3288 blanks, all 85147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Modals/ConnectSolanaNetwork/ConnectSolanaNetwork.tsx                             | TypeScript JSX     |        112 |          1 |          8 |        121 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Modals/ConnectSolanaNetwork/ModalConnectWallet.tsx                               | TypeScript JSX     |         32 |          6 |          6 |         44 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Modals/ModalCustom.tsx                                                           | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Modals/ModalSettingAccount/ModalSettingAccount.tsx                               | TypeScript JSX     |         80 |          0 |         14 |         94 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Modals/ModalSettingFee/ModalSettingFee.tsx                                       | TypeScript JSX     |        103 |          0 |         12 |        115 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Providers/ProviderEVM/ProviderEVM.tsx                                            | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Providers/ProviderEVM/ProviderEVMUniversalWallet.tsx                             | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Providers/ProviderSolana/ProviderSolana.tsx                                      | TypeScript JSX     |         27 |          2 |          6 |         35 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Providers/ThemeProvider/ThemeProvider.tsx                                        | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/Failed.tsx                                                            | TypeScript JSX     |         34 |          1 |          5 |         40 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/Loading.tsx                                                           | TypeScript JSX     |         31 |          0 |          2 |         33 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/Lockout.tsx                                                           | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/LockoutUniversal.tsx                                                  | TypeScript JSX     |         25 |          0 |          4 |         29 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/NAValue.tsx                                                           | TypeScript JSX     |         24 |          0 |          2 |         26 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/NoData.tsx                                                            | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/SwitchWithText/SwitchWithText.tsx                                                | TypeScript JSX     |         61 |          0 |          4 |         65 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/TableLoading/SkeletonTableBody.tsx                                               | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/ToastNotifier/ConfirmSwitchSmartWallet.tsx                                       | TypeScript JSX     |         33 |          0 |          3 |         36 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/ToastNotifier/ToastNotifier.tsx                                                  | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/chainId.ts                                                                        | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/contractAddress/evm/index.ts                                                      | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/contractAddress/solana/index.ts                                                   | TypeScript         |         15 |          0 |          3 |         18 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/index.ts                                                                          | TypeScript         |         16 |          0 |          8 |         24 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/network.tsx                                                                       | TypeScript JSX     |         26 |          0 |          4 |         30 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/protocols.tsx                                                                     | TypeScript JSX     |         21 |          0 |          2 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/BaseTokenInfo.ts                                                           | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/EvmTokenInfo.ts                                              | TypeScript         |         27 |          0 |          2 |         29 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum-testnet/index.ts                        | TypeScript         |         43 |          0 |          6 |         49 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum-testnet/mapNameToInfoEthereumTestnet.ts | TypeScript         |         25 |          0 |          6 |         31 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum/EthereumChainTokenInfo.ts               | TypeScript         |         27 |          0 |          2 |         29 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum/index.ts                                | TypeScript         |         59 |          0 |          8 |         67 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum/mapNameToInfoEthereum.ts                | TypeScript         |         29 |          0 |          6 |         35 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/mapNameToInfoEthereum.ts                                     | TypeScript         |         28 |          0 |          6 |         34 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/mapNameToInfo.ts                                                           | TypeScript         |         34 |          0 |          5 |         39 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/SolanaEcosystemTokenInfo.ts                               | TypeScript         |         30 |          0 |          2 |         32 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/mapNameToInfoSolana.ts                                    | TypeScript         |         38 |          0 |          9 |         47 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-devnet/SolanaDevnetTokenInfo.ts                    | TypeScript         |         29 |          0 |          2 |         31 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-devnet/index.ts                                    | TypeScript         |         99 |          3 |         12 |        114 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-devnet/mapNameToInfoSolanaDevnet.ts                | TypeScript         |         35 |          0 |          4 |         39 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-mainnet/SolanaMainnetTokenInfo.ts                  | TypeScript         |         29 |          0 |          2 |         31 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-mainnet/index.ts                                   | TypeScript         |        102 |          0 |         11 |        113 |
| /Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-mainnet/mapNameToInfoSolanaMainnet.ts              | TypeScript         |         38 |          0 |          4 |         42 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/evm/abi/universalWallet.ts                                                        | TypeScript         |      1,032 |          0 |          1 |      1,033 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/evm/abi/vault.ts                                                                  | TypeScript         |        437 |          0 |          1 |        438 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/evm/abi/vaultRouter.ts                                                            | TypeScript         |        302 |          0 |          1 |        303 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LendingContract/LendingContract.ts                               | TypeScript         |        469 |          6 |         90 |        565 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LendingContract/LendingCrossContract.ts                          | TypeScript         |        482 |          9 |         84 |        575 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LendingContract/constant.ts                                      | TypeScript         |         26 |          1 |          3 |         30 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LendingContractUniversal/LendingContractUniversal.ts             | TypeScript         |        551 |         10 |         91 |        652 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LendingContractUniversal/LendingUtilityUniversal.ts              | TypeScript         |         30 |          0 |          8 |         38 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LendingContractUniversal/constant.ts                             | TypeScript         |         26 |          1 |          3 |         30 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LendingContractUniversal/utils.ts                                | TypeScript         |         41 |         13 |         11 |         65 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LiquidatorContract/constant.ts                                   | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/LiquidatorContract/index.ts                                      | TypeScript         |        104 |          2 |         22 |        128 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/SolanaContractAbstract.ts                                        | TypeScript         |        153 |          4 |         25 |        182 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/VaultContract/constant.ts                                        | TypeScript         |          6 |          0 |          3 |          9 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/contracts/VaultContract/index.ts                                           | TypeScript         |        138 |          1 |         28 |        167 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/idl/lending/lending.ts                                                     | TypeScript         |     30,989 |          1 |          3 |     30,993 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/idl/liquidator/liquidator.ts                                               | TypeScript         |      1,683 |          0 |          3 |      1,686 |
| /Users/ndt/Desktop/DATN/frontend-app/src/contracts/solana/idl/vault/vault.ts                                                         | TypeScript         |      2,182 |          0 |          2 |      2,184 |
| /Users/ndt/Desktop/DATN/frontend-app/src/global.config.ts                                                                            | TypeScript         |         38 |         27 |         13 |         78 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/mutations/useBorrowEVM.tsx                                                            | TypeScript JSX     |         99 |          0 |         14 |        113 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/mutations/useBurnEVM.tsx                                                              | TypeScript JSX     |         96 |         14 |         15 |        125 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/mutations/useDepositEVM.tsx                                                           | TypeScript JSX     |        101 |         14 |         15 |        130 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/mutations/useWithdrawEVM.tsx                                                          | TypeScript JSX     |        101 |          0 |         13 |        114 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/mutations/vault/useClamRewardVault.tsx                                                | TypeScript JSX     |         34 |          0 |          6 |         40 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/mutations/vault/useDepositVault.tsx                                                   | TypeScript JSX     |         55 |          0 |         11 |         66 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/mutations/vault/useWithdrawVault.tsx                                                  | TypeScript JSX     |         40 |          0 |          8 |         48 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useAsyncExecute.tsx                                                                   | TypeScript JSX     |         68 |          0 |         12 |         80 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useContract/useGetLiquidityWithdrawCap.tsx                                            | TypeScript JSX     |         43 |          0 |         12 |         55 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useContract/useGetTransFee.tsx                                                        | TypeScript JSX     |         26 |          0 |          7 |         33 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useContract/useLendingContract.tsx                                                    | TypeScript JSX     |         19 |          0 |          6 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useHighcharts/useAreaChartConfig.ts                                                   | TypeScript         |         39 |          1 |          3 |         43 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useHighcharts/useDonutChartConfig.ts                                                  | TypeScript         |         52 |          1 |          3 |         56 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useHighcharts/useHighchartsDefaultConfig.tsx                                          | TypeScript JSX     |         81 |          0 |          4 |         85 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useHighcharts/useSolidGaugeConfig.ts                                                  | TypeScript         |         28 |          1 |          3 |         32 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryAllPriceByName.ts                                                             | TypeScript         |         20 |          1 |          4 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryAllTokensPrice.ts                                                             | TypeScript         |         30 |          1 |          6 |         37 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryAllTokensPriceUniversal.ts                                                    | TypeScript         |         18 |          0 |          3 |         21 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrow/useBorrowRate.tsx                                            | TypeScript JSX     |         19 |          0 |          6 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrow/useHealthFactor.tsx                                          | TypeScript JSX     |         58 |          0 |         10 |         68 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrow/useInvestedValue.tsx                                         | TypeScript JSX     |        126 |          3 |         32 |        161 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrow/useLendingMetrics.ts                                         | TypeScript         |         31 |          0 |          6 |         37 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrow/useMaxLtv.tsx                                                | TypeScript JSX     |         19 |          2 |          6 |         27 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrowUniversal/useBorrowRateUniversal.tsx                          | TypeScript JSX     |         18 |          0 |          6 |         24 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrowUniversal/useConnectSelectNetwork.tsx                         | TypeScript JSX     |          6 |          0 |          4 |         10 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrowUniversal/useGetBalanceTokenUniversal.tsx                     | TypeScript JSX     |         36 |          0 |          6 |         42 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrowUniversal/useGetCrossDepository.tsx                           | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrowUniversal/useHealthFactorUniversal.tsx                        | TypeScript JSX     |         47 |          0 |         10 |         57 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrowUniversal/useInvestedValueUniversal.tsx                       | TypeScript JSX     |        124 |          3 |         26 |        153 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryBorrowUniversal/useLendingMetricsUniversal.tsx                      | TypeScript JSX     |         30 |          0 |          6 |         36 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryLiquidation/useGetStaked.tsx                                        | TypeScript JSX     |         21 |          0 |          6 |         27 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryLiquidation/useGetVaultApr.tsx                                      | TypeScript JSX     |         14 |          0 |          4 |         18 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryLiquidation/useGetVaultInfo.tsx                                     | TypeScript JSX     |         18 |          0 |          5 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolio/useJupiterQuote.ts                                      | TypeScript         |         34 |          0 |          8 |         42 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolio/useMyPortfolio.ts                                       | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolio/useQueryBorrowRate.ts                                   | TypeScript         |         31 |          0 |          5 |         36 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolio/useQueryDepositValue.ts                                 | TypeScript         |         41 |          2 |          3 |         46 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolio/useQueryRedeemConfig.ts                                 | TypeScript         |         22 |          0 |          4 |         26 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolio/useQueryYourBorrow.ts                                   | TypeScript         |         39 |          0 |          4 |         43 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolio/useRedeemWithCollateral.tsx                             | TypeScript JSX     |         58 |          0 |         14 |         72 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useHealthFactorUniversal.ts                    | TypeScript         |         49 |          0 |         10 |         59 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useJupiterQuote.ts                             | TypeScript         |         34 |          0 |          8 |         42 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useMaxProtocolWithdraw.ts                      | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useMyPortfolioUniversal.ts                     | TypeScript         |         28 |          0 |          7 |         35 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useQueryBorrowRate.ts                          | TypeScript         |         32 |          0 |          5 |         37 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useQueryDepositValue.ts                        | TypeScript         |         41 |          2 |          3 |         46 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useQueryRedeemConfig.ts                        | TypeScript         |         21 |          0 |          4 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useQueryTransactionsHistory.ts                 | TypeScript         |         19 |          2 |          3 |         24 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useQueryYourBorrow.ts                          | TypeScript         |         40 |          0 |          4 |         44 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryMyPortfolioUniversal/useRedeemWithCollateral.tsx                    | TypeScript JSX     |         58 |          0 |         14 |         72 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/querySwap/useSwapConfig.tsx                                              | TypeScript JSX     |         74 |          5 |         16 |         95 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryUniversalWallet/useQueryTransactionHistory.tsx                      | TypeScript JSX     |         18 |          2 |          3 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryVault/useBannerInfo.ts                                              | TypeScript         |         22 |          1 |          7 |         30 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryVault/useStakedInfo.ts                                              | TypeScript         |         26 |          1 |          7 |         34 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useQueryHook/queryVault/useVaultInfoEVM.ts                                            | TypeScript         |         84 |          1 |         13 |         98 |
| /Users/ndt/Desktop/DATN/frontend-app/src/hooks/useSwitchToSelectedChain.tsx                                                          | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/Layout.tsx                                                                           | TypeScript JSX     |         28 |          1 |          3 |         32 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/content/Content.tsx                                                                  | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/ConnectWalletSection/ClassicConnectWallet.tsx                                 | TypeScript JSX     |        117 |          0 |          9 |        126 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/ConnectWalletSection/ConnectWalletSection.tsx                                 | TypeScript JSX     |        176 |          0 |         12 |        188 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/ConnectWalletSection/EVMWallet.tsx                                            | TypeScript JSX     |         90 |          2 |          8 |        100 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/ConnectWalletSection/HeadOfConnectWallet.tsx                                  | TypeScript JSX     |        159 |          0 |          9 |        168 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/ConnectWalletSection/ListTokenAvailable.tsx                                   | TypeScript JSX     |         26 |          0 |          2 |         28 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/ConnectWalletSection/SolanaWallet.tsx                                         | TypeScript JSX     |         79 |          1 |          9 |         89 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/Header.tsx                                                                    | TypeScript JSX     |         52 |          0 |          2 |         54 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/HeaderItem.tsx                                                                | TypeScript JSX     |        107 |          0 |          7 |        114 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/HeaderNavbar.tsx                                                              | TypeScript JSX     |         62 |          0 |          7 |         69 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/header/Setting.tsx                                                                   | TypeScript JSX     |         68 |          0 |          6 |         74 |
| /Users/ndt/Desktop/DATN/frontend-app/src/layout/menu.ts                                                                              | TypeScript         |         21 |         13 |          2 |         36 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/common/IconCrypto.tsx                                                     | TypeScript JSX     |         23 |          0 |          2 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/common/IconToken.tsx                                                      | TypeScript JSX     |         13 |          7 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/common/IconTokenAndName.tsx                                               | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/common/index.ts                                                           | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/constants/iconMappings.ts                                                 | TypeScript         |         27 |          5 |          2 |         34 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/constants/imagePaths.ts                                                   | TypeScript         |         89 |          5 |         23 |        117 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/index.ts                                                                  | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/systems/IconBSC.tsx                                                       | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/systems/IconEthereum.tsx                                                  | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/systems/index.ts                                                          | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconAI16Z.tsx                                                      | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconBNB.tsx                                                        | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconETH.tsx                                                        | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconMAX.tsx                                                        | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconORAI.tsx                                                       | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconSOL.tsx                                                        | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconTRUMP.tsx                                                      | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconUSDAI.tsx                                                      | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconUSDC.tsx                                                       | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconUSDT.tsx                                                       | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconVIRTUAL.tsx                                                    | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/IconscORAI.tsx                                                     | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/tokens/index.ts                                                           | TypeScript         |         12 |          0 |          1 |         13 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/types/SystemName.ts                                                       | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/types/TokenName.ts                                                        | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/types/WalletName.ts                                                       | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/types/index.ts                                                            | TypeScript         |          9 |          0 |          4 |         13 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/wallets/IconLeap.tsx                                                      | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/wallets/IconMetaMask.tsx                                                  | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/wallets/IconOwallet.tsx                                                   | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/wallets/IconPhantom.tsx                                                   | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/wallets/IconTronLink.tsx                                                  | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/wallets/IconWalletConnect.tsx                                             | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/libs/crypto-icons/wallets/index.ts                                                          | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/ndt/Desktop/DATN/frontend-app/src/main.tsx                                                                                    | TypeScript JSX     |         11 |          0 |          2 |         13 |
| /Users/ndt/Desktop/DATN/frontend-app/src/routes.tsx                                                                                  | TypeScript JSX     |         34 |          0 |          3 |         37 |
| /Users/ndt/Desktop/DATN/frontend-app/src/services/HandleApi/getDashboardInfo/getMetrics.ts                                           | TypeScript         |         35 |          0 |          9 |         44 |
| /Users/ndt/Desktop/DATN/frontend-app/src/services/HandleApi/getDashboardInfo/type.ts                                                 | TypeScript         |         74 |          0 |         11 |         85 |
| /Users/ndt/Desktop/DATN/frontend-app/src/services/HandleApi/getHealthFactor/getHealthFactor.ts                                       | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/ndt/Desktop/DATN/frontend-app/src/services/HandleApi/getHealthFactor/type.ts                                                  | TypeScript         |         22 |          0 |          5 |         27 |
| /Users/ndt/Desktop/DATN/frontend-app/src/services/HandleApi/getJupiterInfo/getJupiterInfo.ts                                         | TypeScript         |         11 |          1 |          3 |         15 |
